subject_id	subject_label	predicate_id	object_id	object_label	confidence	mapping_justification	date	creator_id	subject_source_version	object_source_version
CO_340:0000509	Chlorophyll content	skos:exactMatch	TO:0012002	leaf chlorophyll content	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000269	Drought induced senescence	skos:exactMatch	TO:0000276	drought tolerance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0006644	Biomass at Maturity	skos:narrowMatch	TO:0000327	shoot system yield trait	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000434	Canopy Height	skos:exactMatch	TO:0000207	plant height	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000678	Capacity for re-growth	skos:narrowMatch	TO:0000250	plant vigor trait	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000530	Dry fodder weight	skos:narrowMatch	TO:0000327	shoot system yield trait	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0004642	Fodder biomass at Flowering	skos:narrowMatch	TO:0000327	shoot system yield trait	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000677	Fresh biomass at flowering	skos:exactMatch	TO:0000457	total biomass yield	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000500	Fresh pod	skos:exactMatch	TO:0003030	legume fruit fresh weight	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000638	Grain yield	skos:exactMatch	TO:0000905	seed yield trait	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000242	Grain yield per plant	skos:narrowMatch	TO:0000905	seed yield trait	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000245	Grain yield per plot	skos:narrowMatch	TO:0000905	seed yield trait	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000371	GRPODKGH	skos:exactMatch	TO:0001092	legume fruit weight	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000293	Harvest index	skos:exactMatch	TO:0000897	seed harvest index	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000566	Leaf weight	skos:exactMatch	TO:0000505	leaf weight	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000620	Nodule number	skos:exactMatch	TO:0000900	root nodule number	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000617	Nodule weight	skos:exactMatch	TO:0000899	root nodule weight	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000683	Number of racemes	skos:exactMatch	TO:0000582	inflorescence number	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000578	PERCENT PROTEIN	skos:exactMatch	TO:0000598	protein content	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000676	Plant dry weight content	skos:exactMatch	TO:0000352	plant dry weight	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000639	Plant stand at emergence	skos:exactMatch	TO:0000202	germination ratio	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000674	Plant vigour	skos:exactMatch	TO:0000250	plant vigor trait	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000356	Pod per plant	skos:exactMatch	TO:0001125	pod number trait	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000335	Pod weight per plot	skos:narrowMatch	TO:0000871	fruit yield trait	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0003641	Pod yield	skos:exactMatch	TO:0000871	fruit yield trait	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000284	PODS KG/H	skos:exactMatch	TO:0000871	fruit yield trait	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000302	Pods per peduncule	skos:exactMatch	TO:0001125	pod number trait	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000353	Pods per peduncule	skos:exactMatch	TO:0001125	pod number trait	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000449	Pods per plot	skos:narrowMatch	TO:0000871	fruit yield trait	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000690	Seed crowding	skos:narrowMatch	TO:0001082	legume fruit morphology trait	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000239	Seed per pod	skos:exactMatch	TO:0000445	fruit seed number	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0005643	Seed weight	skos:exactMatch	TO:0000181	seed weight	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000410	Anthracnose damage	skos:narrowMatch	TO:0000439	fungal disease resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000386	Aphid damage	skos:narrowMatch	TO:0006067	aphid resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000641	Aphid incidence	skos:narrowMatch	TO:0006067	aphid resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000642	Aphid severity	skos:narrowMatch	TO:0006067	aphid resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000338	Bacteria pustule	skos:narrowMatch	TO:0000315	bacterial disease resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0002640	Bacterial blight (X. vignicola) severity	skos:narrowMatch	TO:0000315	bacterial disease resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000377	Blackeye cowpea mosaic virus	skos:narrowMatch	TO:0000148	viral disease resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000323	Blackeye cowpea mosaic virus severity	skos:narrowMatch	TO:0000148	viral disease resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000422	Cercospora	skos:narrowMatch	TO:0002702	cercospora leaf spot resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000296	Cowpea aphid-borne mosaic virus severity	skos:narrowMatch	TO:0000148	viral disease resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000629	Diabrotica	skos:narrowMatch	TO:0000261	insect damage resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000644	Flower thrip damage	skos:narrowMatch	TO:0000261	insect damage resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000428	Foliar thrip damage	skos:narrowMatch	TO:0000261	insect damage resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000380	Fusarium wilt Race 3 damage	skos:narrowMatch	TO:0000439	fungal disease resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_340:0000383	Fusarium wilt Race 4 damage	skos:narrowMatch	TO:0000439	fungal disease resistance	1	sssom:HumanCuration	06/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_340-cowpea-traits/d31aac2ffc87810e769157920e3d1949ac28617a/cowpea_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
